# MOO tseries comparison 
# col 0 dates | col 1,2 MC | col 3,4 ANS | col 5,6 NS
t capMC  bondMC  capANS  bondANS capNS  bondNS
213  4.4948 0.6795 13.6555 0.0851 13.3785 0.1074 
214  3.8740 0.6865 12.1906 0.0452 13.0622 0.0142 
215  3.6742 0.7163 12.0616 0.0489 11.8424 0.0719 
216  4.6902 0.7203 13.5286 0.0716 13.2698 0.0961 
217  4.4872 0.7424 13.4195 0.0827 13.1424 0.1017 
218  4.4489 0.7460 13.2643 0.0742 12.9842 0.0883 
219  4.5123 0.7684 13.6171 0.0762 13.3157 0.0935 
220  4.5212 0.7706 13.6804 0.0793 13.3847 0.0974 
221  4.4375 0.7940 13.5846 0.0752 13.2806 0.0894 
222  4.1867 0.7849 13.0832 0.0777 12.8116 0.0883 
223  3.8873 0.8022 12.7928 0.0784 12.4530 0.0925 
224  3.9522 0.7980 12.8659 0.0817 12.5083 0.0961 
225  4.0414 0.7706 12.7090 0.0781 12.3669 0.0972 
226  4.1092 0.7698 12.7620 0.0785 12.4439 0.0952 
227  3.9520 0.8368 12.3350 0.0807 12.1416 0.0853 
228  3.4292 0.8692 11.7669 0.0684 11.5384 0.0735 
229  3.8535 0.8949 11.9191 0.0763 11.7129 0.0818 
230  3.6754 0.8886 11.6093 0.0788 11.3654 0.0837 
231  3.8140 0.9377 11.5015 0.0805 11.1035 0.0869 
232  4.4129 0.9741 11.5646 0.0881 11.1546 0.0923 
233  4.1323 0.9563 11.7304 0.0940 11.0719 0.1171 
234  3.5966 0.9851 11.2204 0.1015 10.8205 0.1058 
235  3.8871 0.9677 11.7509 0.1118 11.3054 0.1166 
236  3.9132 0.9941 11.4114 0.1027 11.0097 0.1068 
237  3.5097 1.0540 10.7261 0.1113 10.3279 0.1152 
238  3.5735 0.9915 10.6750 0.1039 10.2796 0.1080 
239  3.4551 1.0766 10.3959 0.0923  9.7863 0.1027 
240  3.3433 0.9998  9.7476 0.0720  9.3337 0.0780 
241  3.0873 0.8381  8.8965 0.0598 10.1083 0.0354 
242  3.4287 0.6956  8.5619 0.0541  9.3614 0.0399 
243  3.2898 0.7878  8.4238 0.0504  8.1334 0.0504 
244  3.0656 0.8022  8.6203 0.0520  9.7262 0.0212 
245  3.6036 0.8263  9.6724 0.0801  9.3971 0.0830 
246  3.2860 0.8754  9.3588 0.0675 10.6428 0.0395 
247  3.1708 0.8865  9.4931 0.0668 10.6384 0.0464 
248  3.5149 0.9743  8.9991 0.0786 10.3186 0.0600 
249  3.1895 0.9880  9.2339 0.0751 10.3380 0.0603 
250  3.1025 0.8455  8.6903 0.0714  9.8469 0.0495 
251  3.4693 0.8386  9.2057 0.0553  8.9554 0.0569 
252  3.2090 0.9197  9.0486 0.0630 10.0399 0.0445 
253  3.3166 0.8208  8.8407 0.0621  9.8449 0.0456 
254  3.1157 0.9518  8.9277 0.0664 10.4352 0.0345 
255  3.1814 0.9125  8.5350 0.0561  9.5718 0.0316 
256  3.2221 0.8179  8.3713 0.0559  9.3493 0.0331 
257  3.2561 0.8326  8.4777 0.0467  9.2545 0.0311 
258  3.3401 0.8546  8.5094 0.0563  9.7808 0.0288 
259  3.4245 0.8368  8.5002 0.0565  9.9664 0.0273 
260  3.5784 0.8797  8.5241 0.0594  9.6577 0.0413 
261  3.5882 0.8764  8.4834 0.0560  9.4795 0.0398 
262  3.6051 0.9009  8.3586 0.0647  9.5549 0.0453 
263  3.6054 0.9088  8.4147 0.0647  9.7545 0.0398 
264  3.5686 0.9096  8.5432 0.0662  9.8817 0.0456 
265  3.0990 0.7221  7.1721 0.0815  7.1388 0.0844 
266  3.8456 0.6844  8.4372 0.0994  8.1284 0.1042 
267  3.8342 0.6780  8.0876 0.0868  7.8159 0.0907 
268  3.4416 0.6553  7.9537 0.0880  7.6250 0.0935 
269  3.6089 0.6260  7.6499 0.0802  7.4245 0.0869 
270  4.9856 0.6452  9.1890 0.0879  8.8973 0.1019 
271  3.8535 0.6667  8.7887 0.0898  8.3958 0.0987 
272  3.6117 0.6766  8.8645 0.0853 10.5904 0.0404 
273  3.6773 0.6737  9.1608 0.0820  8.6627 0.1027 
274  4.6536 0.6931  9.7084 0.0669 11.2671 0.0215 
275  4.5095 0.5990  9.4264 0.0613 10.8982 0.0226 
276  3.7924 0.7034  8.9769 0.0591 10.0113 0.0422 
277  3.9975 0.6999  9.2466 0.0565 10.4812 0.0347 
278  4.1180 0.6716  9.0757 0.0554 10.4575 0.0259 
279  4.3201 0.6004  9.3678 0.0641 10.9618 0.0268 
280  4.0321 0.6812  9.7324 0.0593 11.2846 0.0258 
281  4.0186 0.6650  9.5620 0.0619 10.8582 0.0379 
282  4.4580 0.6156 10.4136 0.0693 10.1095 0.0835


























































































































































































































































































